method,pattern,scenario,missing_rate,continuous_rmse_mean,continuous_rmse_std,dataset
KNN,MNAR,incomplete_train,0.1,1.1322533235847725,0.13966275460751684,cancer
KNN,MNAR,incomplete_train,0.2,1.1797402419459955,0.11672913930425526,cancer
KNN,MNAR,incomplete_train,0.3,1.1354001216462404,0.1057555985837988,cancer
MICE,MAR,complete_train,0.1,3.068845829397667,0.28174494085166946,cancer
MICE,MAR,complete_train,0.2,2.8584071404822486,0.23481797890862202,cancer
MICE,MAR,complete_train,0.3,3.0538747571798464,0.07242393146658194,cancer
MICE,MAR,incomplete_train,0.1,3.323267966840729,0.2794395576709979,cancer
MICE,MAR,incomplete_train,0.2,3.0271859803166743,0.23065079254808912,cancer
MICE,MAR,incomplete_train,0.3,3.0094451411023013,0.15265105252072558,cancer
MICE,MCAR,complete_train,0.1,2.3474891756434144,0.1051257259942616,cancer
MICE,MCAR,complete_train,0.2,2.3753210033927368,0.14030285522277625,cancer
MICE,MCAR,complete_train,0.3,2.3857357367531895,0.08069528165546246,cancer
MICE,MCAR,incomplete_train,0.1,2.401717599384971,0.10956452381205165,cancer
MICE,MCAR,incomplete_train,0.2,2.3781601867641604,0.08151434744061946,cancer
MICE,MCAR,incomplete_train,0.3,2.456129331593074,0.07721246692932208,cancer
MICE,MNAR,complete_train,0.1,1.861443451283505,0.06689805998251983,cancer
MICE,MNAR,complete_train,0.2,1.9781896393998288,0.12782588480357912,cancer
MICE,MNAR,complete_train,0.3,2.103803791795059,0.09977289294061277,cancer
MICE,MNAR,incomplete_train,0.1,1.996567108237284,0.16133063894645666,cancer
MICE,MNAR,incomplete_train,0.2,1.9594180819014468,0.10207810974366013,cancer
MICE,MNAR,incomplete_train,0.3,2.0979605213734067,0.06427594885033235,cancer
MeanMode,MAR,complete_train,0.1,4.333439821960879,0.4193650181117702,cancer
MeanMode,MAR,complete_train,0.2,4.314834971670384,0.2211491557589336,cancer
MeanMode,MAR,complete_train,0.3,4.384391442067186,0.27021291626169347,cancer
MeanMode,MAR,incomplete_train,0.1,4.333439821960879,0.4193650181117702,cancer
